username,followers,following,public_repos,public_gists,account_age_days,bio,label,burst_score,posting_regularity_score,time_of_day_entropy,active_hours_count,follow_velocity,duplicate_content_ratio,sentiment_variance,profile_completeness_score,mutual_follower_ratio
free_follower_bot,2.0,2339.0,2.0,0.0,17.0,♻️ repost to win $1000,1,0.779,0.92,0.239,1.0,250.63,0.909,0.0922,0.087,0.0018
emma.j,5.0,10.0,3.0,5.0,4718.0,mom of 3 | foodie,0,0.065,0.404,0.925,9.0,1.926,0.05,0.434,0.718,0.1847
real_human_01234,1.0,436.0,1.0,0.0,17.0,make money online → bio link,1,0.923,0.935,0.37,1.0,120.03,0.906,0.0208,0.238,0.0026
q7w8e9r0t1y2,10.0,2599.0,1.0,0.0,48.0,,1,0.899,0.87,0.288,2.0,187.62,0.945,0.0823,0.021,0.038
user8374629,12.0,1409.0,1.0,0.0,35.0,make money online → bio link,1,0.757,0.896,0.253,2.0,209.24,0.884,0.0371,0.268,0.0247
f4f_master_99,0.0,2726.0,2.0,0.0,57.0,FREE gift cards click here,1,0.907,0.96,0.317,2.0,64.35,0.754,0.0765,0.154,0.0199
real_human_01234,16.0,2182.0,0.0,0.0,39.0,btc eth airdrop free coins,1,0.797,0.937,0.122,2.0,81.87,0.836,0.0446,0.211,0.0133
earn_fast_2024,6.0,504.0,1.0,0.0,18.0,promo available 📩,1,0.674,0.952,0.264,1.0,259.94,0.869,0.0984,0.288,0.038
bot291847362,19.0,1293.0,0.0,0.0,54.0,♻️ repost to win $1000,1,0.664,0.903,0.387,4.0,283.35,0.967,0.0712,0.224,0.0318
grace_beauty,97.0,18.0,25.0,17.0,5000.0,Developer | Open source enthusiast,0,0.047,0.478,0.787,8.0,4.707,0.009,0.2581,0.958,0.3147
noah_films,24.0,5.0,8.0,21.0,1181.0,Data scientist | ML researcher,0,0.026,0.525,0.972,9.0,1.9,0.096,0.3782,0.604,0.4159
dev_pete,10.0,7.0,13.0,1.0,753.0,Marketing professional | keynote speaker,0,0.089,0.465,0.949,13.0,4.669,0.002,0.3386,0.722,0.4703
f4f_master_99,10.0,2416.0,1.0,0.0,50.0,follow for follow back,1,0.879,0.939,0.235,2.0,186.04,0.882,0.0351,0.21,0.027
luke_designs,61.3188058056632,0.0,8.928937595889364,6.8838618866044445,1378.380594009265,Artist | Digital creator,0,0.048917543056796936,0.3979317038979196,0.9599873618915502,13.901381631527471,9.04926004329319,0.07204116653585028,0.5267781984600723,0.8465909195420667,0.21615153889476985
fit_jessica,229.0,7.0,54.0,10.0,1269.0,Wildlife photographer based in Kenya,0,0.074,0.545,0.923,10.0,3.481,0.024,0.2619,0.625,0.4785
sophia_teaches,34.18407910897499,0.0,9.857846781031474,29.70310011357321,5015.260385922091,Marketing professional | keynote speaker,0,0.09278280748291932,0.346041941829148,0.8263459039620032,10.852867199719494,10.151076691280073,0.14615340110655634,0.6888886365475057,0.8906970886767954,0.18667766267396638
mark_adventure,1.0,21.0,64.0,8.0,2503.0,mom of 3 | foodie,0,0.118,0.311,0.954,18.0,0.873,0.03,0.4136,0.937,0.156
bot_account_7,13.0,1990.0,0.0,0.0,47.0,earn $500/day 👇,1,0.801,0.875,0.353,3.0,286.29,0.839,0.065,0.141,0.0349
xXx_profit_xXx,13.326402598004378,1099.379884575285,0.0,0.0,0.0,investment advisor DM me,1,0.7392264829592343,0.9032799124743075,0.16897625130129101,1.1167583914527761,188.69601181190495,0.8051581363524392,0.10660336254079208,0.12215511435097835,0.012108590637662026
james_hikes,373.83277410174827,0.0,232.54553807055606,22.950779829823862,5015.546148057545,mom of 3 | foodie,0,0.005120660100200503,0.17413255479541714,0.6697969642302122,12.850177024264632,0.0,0.1290903564379418,0.39798100925734425,0.982190021049558,0.11476801825984596
noah_films,160.0,8.0,19.0,7.0,4121.0,Wildlife photographer based in Kenya,0,0.142,0.305,0.824,17.0,1.302,0.138,0.594,0.773,0.3265
ava_dances,108.0,9.0,12.0,25.0,2513.0,Environmental activist,0,0.053,0.511,0.818,18.0,3.572,0.109,0.3029,0.889,0.4284
lisa_writes,55.55102191050869,0.0,11.201137105731842,27.223055523002802,2055.422308919186,Blogger | Lifestyle & wellness,0,0.08839723107626943,0.16801087993350822,0.711989733992246,7.901079696683666,0.0,0.07336824008794851,0.41098121111547464,0.6246432524794672,0.5840084521812539
james_hikes,357.0,47.0,1.0,27.0,428.0,Fashion designer | PR welcome,0,0.079,0.313,0.787,9.0,4.337,0.123,0.4778,0.9,0.5303
lisa_writes,1147.0,25.0,8.0,7.0,5000.0,mom of 3 | foodie,0,0.048,0.433,0.688,15.0,4.106,0.049,0.5811,0.649,0.5591
free_follower_bot,0.0,278.0912189160472,0.0,0.0,0.0,,1,0.7204338809978645,0.9276124286157665,0.3040543384980288,3.063438645889096,69.48619682006594,0.7526275029377333,0.06042045663889825,0.10608505150849175,0.007151823653180881
dev_pete,4.0,43.0,11.0,17.0,1047.0,Marketing professional | keynote speaker,0,0.137,0.352,0.675,15.0,3.959,0.015,0.5504,0.641,0.4313
emma.j,56.16035223176406,0.0,60.445873729034325,14.708864802814986,1318.3316343807937,Medical student | future doctor,0,0.117851471398061,0.4255153712810748,0.8736673020523659,9.396867044146065,5.03730187616277,0.0690473429906069,0.5336829270693004,0.7954099613104738,0.5160275365887191
airdrop_winner99,16.0,2546.0,1.0,0.0,50.0,,1,0.632,0.924,0.284,2.0,199.32,0.714,0.0452,0.109,0.0422
alex_travel,46.0,34.0,14.0,14.0,3454.0,Traveler | 50+ countries visited,0,0.018,0.368,0.711,8.0,1.445,0.082,0.4879,0.847,0.3431
ava_dances,21.0,14.0,32.0,17.0,967.0,Teacher & lifelong learner,0,0.149,0.186,0.682,17.0,4.626,0.178,0.5497,0.637,0.4458
noah_films,70.0,14.0,47.0,21.0,545.0,Blogger | Lifestyle & wellness,1,0.13,0.264,0.896,18.0,2.865,0.043,0.2676,0.822,0.106
amy_joy,2.0,21.0,7.0,28.0,1374.0,software engineer @ Google,0,0.001,0.481,0.731,10.0,1.337,0.029,0.5748,0.647,0.2109
follow_back_101,3.0,2866.0,0.0,0.0,22.0,♻️ repost to win $1000,1,0.903,0.893,0.214,2.0,194.69,0.782,0.0774,0.164,0.0462
ben_codes,92.0,16.0,33.0,25.0,1111.0,Environmental activist,0,0.031,0.478,0.802,8.0,2.49,0.014,0.368,0.798,0.3441
creative_dan,1.0,114.0,15.0,15.0,1574.0,Marketing professional | keynote speaker,0,0.124,0.476,0.693,15.0,2.006,0.053,0.3406,0.989,0.4637
chef_marco,77.73529623137918,2.620786237966384,9.178210728630598,22.095084881408038,2714.747270259015,Dance teacher | choreographer,0,0.06840272764648092,0.4107527251926539,0.7386047061943372,9.754805540471484,0.3521842633523281,0.0,0.5605881984776456,0.850560389848159,0.4347553987564316
photo_by_anna,103.0,108.0,8.0,1.0,1865.0,Chef | Recipe creator,0,0.073,0.236,0.871,9.0,1.897,0.167,0.5069,0.778,0.3763
autoliker_pro,0.0,2803.0,2.0,0.0,48.0,,1,0.688,0.903,0.235,4.0,262.98,0.816,0.0372,0.193,0.0345
photo_by_anna,689.0,39.0,32.0,4.0,2689.0,photographer | travel 📷,0,0.022,0.214,0.663,11.0,0.35,0.16,0.655,0.658,0.4402
mark_adventure,177.0,18.0,8.0,17.0,5000.0,Medical student | future doctor,0,0.09,0.333,0.842,8.0,3.022,0.165,0.4248,0.687,0.1589
free_follower_bot,4.0,1882.0,2.0,0.0,42.0,,1,0.877,0.932,0.228,4.0,244.98,0.962,0.0753,0.242,0.0235
code_master,7.0,11.0,3.0,16.0,1379.0,Data scientist | ML researcher,0,0.096,0.41,0.703,14.0,0.53,0.159,0.4604,0.7,0.5979
amy_joy,112.10848209496694,33.617599154505555,11.578715722129386,5.699036316043675,2571.1451904886467,Artist | Digital creator,0,0.06109443674110607,0.25827644231203517,0.8195541589076206,11.101661743537731,0.021133673535781217,0.07570127287684156,0.5681125760642214,0.7400307629753283,0.4088760325440599
user8374629,3.0,2883.0,1.0,0.0,18.0,♻️ repost to win $1000,1,0.865,0.892,0.216,3.0,119.17,0.719,0.0807,0.008,0.0447
zz_promo_zz,3.0,2938.0,0.0,0.0,1.0,follow for follow back,1,0.655,0.978,0.206,3.0,259.54,0.702,0.0307,0.23,0.0327
daniel_f,20.25687520244808,36.57358976555048,25.180127403941384,4.553240904979733,918.6834420444544,Dog lover | Hiking | Books,0,0.021635450445331043,0.5129725352514632,0.8365445211588854,12.024795009430562,3.801807098965417,0.17157806315589696,0.43276953316171396,0.780779883010044,0.32176762552218274
ben_codes,61.0,69.0,9.0,24.0,5000.0,Freelance illustrator | art prints available,0,0.041,0.248,0.785,8.0,2.534,0.055,0.6505,0.917,0.2951
crypto_king_9999,4.0,664.0,0.0,0.0,52.0,follow for follow back,1,0.715,0.924,0.126,3.0,298.03,0.717,0.0307,0.138,0.0282
code_master,254.0,77.0,38.0,11.0,2389.0,fitness coach 💪 DM for training plans,0,0.149,0.342,0.74,15.0,3.925,0.083,0.6694,0.883,0.2826
1234567890ab,4.0,2786.0,1.0,0.0,49.0,follow for follow back,1,0.805,0.875,0.387,1.0,275.71,0.714,0.0159,0.113,0.0287
autoliker_pro,10.0,321.0,1.0,0.0,47.0,,1,0.79,0.888,0.282,4.0,87.42,0.765,0.0413,0.051,0.0146
mia_cooks,1152.0,8.0,20.0,29.0,1248.0,Traveler | 50+ countries visited,0,0.023,0.339,0.693,15.0,0.677,0.017,0.5651,0.752,0.3637
ava_dances,28.495957171189588,53.397471870113165,13.495133543095632,22.6087157187026,4312.208104422748,Marketing professional | keynote speaker,0,0.1340045635522189,0.11205091765327506,0.9766260997709204,13.929565020529862,0.0,0.19939160714691628,0.536952422236321,0.8059318763128228,0.4198316114553322
free_follower_bot,5.0,753.0,1.0,0.0,48.0,earn $500/day 👇,1,0.849,0.99,0.383,1.0,222.94,0.865,0.0983,0.185,0.0429
creative_dan,2.0,14.0,1.0,16.0,387.0,Dog lover | Hiking | Books,0,0.022,0.237,0.943,15.0,1.216,0.04,0.2578,0.928,0.2743
john_doe,910.0533024880688,5.679258751704147,32.13696510698201,10.095180145963488,675.5651093436928,Podcaster | interviewing founders,0,0.16136505333205817,0.4536629937121948,0.7357197084239091,10.72221493743614,12.317826640583597,0.0879762946078773,0.5592173751466121,0.7488777732641586,0.15573239157147922
acc29471838,11.0,2947.0,0.0,0.0,37.0,follow for follow back,1,0.713,0.932,0.104,2.0,153.77,0.747,0.02,0.049,0.0268
emma.j,23.031132231591123,7.72495232241838,16.809917614125155,12.582924213653204,1839.4096223238662,Gaming streamer | Twitch partner,0,0.04321370714042884,0.543244220039988,0.7030157173322971,18.1776966433869,2.9982794573589246,0.01510710472228145,0.62307442938287,0.859494278333628,0.12760351800389802
get_rich_88,13.0,1428.0,1.0,0.0,6.0,FREE gift cards click here,1,0.7,0.911,0.237,1.0,98.78,0.953,0.0686,0.236,0.0369
free_follower_bot,13.0,1357.0,0.0,0.0,37.0,follow for follow back,1,0.739,0.866,0.308,2.0,81.72,0.75,0.0927,0.253,0.0076
fit_jessica,9.0,31.0,7.0,27.0,1155.0,Gaming streamer | Twitch partner,0,0.085,0.522,0.75,16.0,0.551,0.045,0.3642,0.636,0.1836
alex_travel,30.0,19.0,23.0,9.0,770.0,Medical student | future doctor,0,0.086,0.388,0.962,15.0,4.112,0.047,0.6434,0.833,0.5836
paul_runs,2.0,12.0,5.0,17.0,5000.0,Dance teacher | choreographer,0,0.044,0.289,0.863,15.0,0.464,0.154,0.6584,0.821,0.3037
chris_builds,260.0,11.0,6.0,25.0,5000.0,Artist | Digital creator,0,0.081,0.401,0.896,13.0,3.611,0.027,0.2167,0.964,0.4048
follow_back_101,30.12609731135468,2291.414278112838,0.0,0.0,5.967051682691218,♻️ repost to win $1000,1,0.8309470592212548,0.9777504550661343,0.1444993906957222,0.7953847426129195,77.91199054477522,0.8532646312958567,0.08691660511693386,0.044861490648123066,0.04399995087103414
dev_pete,82.68899698625152,0.0,98.28318956767122,11.529138565203919,1330.6521359959268,photographer | travel 📷,0,0.12788944233141886,0.20960721332659005,0.6838189234942456,11.498786329457191,0.0,0.16670988162685138,0.35548401062496127,0.6801738408295975,0.340026491965852
emma.j,7.0,11.0,4.0,10.0,1291.0,Artist | Digital creator,0,0.068,0.273,0.954,11.0,1.709,0.043,0.4149,0.98,0.2742
mike_2023,1358.8248169393464,30.323565994358702,6.0089583294463385,19.04788533732979,5003.914015469569,News journalist @NYT,0,0.015608423889862843,0.493949232663007,0.7317359659970586,10.324601491466012,0.0,0.16802962452372558,0.4473419418545732,0.9291175688973886,0.16618999029157083
james_hikes,10.0,7.0,21.0,27.0,2207.0,Developer | Open source enthusiast,0,0.01,0.395,0.882,10.0,1.156,0.155,0.3715,0.853,0.4672
1234567890ab,4.0,2504.0,1.0,0.0,37.0,,1,0.94,0.902,0.133,2.0,223.43,0.802,0.0778,0.197,0.0475
user8374629,1.0,2239.0,1.0,0.0,41.0,,1,0.641,0.885,0.293,1.0,141.98,0.854,0.0219,0.024,0.012
follow_back_101,1.0,1985.0,0.0,0.0,47.0,investment advisor DM me,1,0.838,0.895,0.374,4.0,139.8,0.71,0.0301,0.043,0.0053
ava_dances,5.775995566535604,9.316805091507705,5.014548103028645,27.604058736513235,5202.25139854882,Wildlife photographer based in Kenya,0,0.00565035921582493,0.3894514076077538,0.8421904779239313,10.039249103847114,2.8838570590475574,0.10748293892909702,0.6174064873254744,0.6894952123887396,0.18006071340066032
luke_designs,26.0,71.0,4.0,14.0,2414.0,Artist | Digital creator,0,0.138,0.396,0.876,18.0,4.035,0.036,0.4744,0.814,0.1467
ethan_games,5.21528243518684,36.76071155386815,13.05214456276941,0.04774326622469384,4954.155979971831,Nurse practitioner | women's health advocate,0,0.017218375239401243,0.18862934079157684,0.9502477225787316,10.78560716669098,11.364680988008143,0.19243184682278636,0.4817523790465018,0.9047347091892675,0.598462962514699
mark_adventure,228.0,7.0,7.0,4.0,1638.0,UX designer @Meta,0,0.047,0.417,0.838,8.0,4.154,0.153,0.3133,0.739,0.196
9182736450,11.0,2817.0,1.0,0.0,43.0,investment advisor DM me,1,0.793,0.892,0.392,1.0,140.81,0.847,0.0811,0.168,0.0298
acc29471838,13.0,2847.0,2.0,0.0,59.0,crypto signals ✅ 99% win rate,1,0.71,0.876,0.252,3.0,281.35,0.781,0.0972,0.158,0.0466
free_follower_bot,5.0,269.0,1.0,0.0,19.0,crypto millionaire | teach you how,1,0.827,0.874,0.336,3.0,83.83,0.864,0.0149,0.114,0.0437
dev_pete,15.0,42.0,113.0,0.0,3041.0,Architect | sustainable design,0,0.138,0.327,0.663,17.0,4.607,0.196,0.5936,0.955,0.2464
earn_fast_2024,9.0,2159.0,0.0,0.0,15.0,DM me to grow your account fast,1,0.803,0.944,0.213,1.0,66.89,0.866,0.0156,0.253,0.0391
rachel_reads,25.0,13.0,9.0,11.0,4335.0,fitness coach 💪 DM for training plans,0,0.116,0.519,0.963,15.0,4.644,0.067,0.5877,0.945,0.2653
mark_adventure,416.2655481043923,49.00185749735871,7.159020080766139,2.840330877533632,541.1871199519433,Wildlife photographer based in Kenya,0,0.035304450212132826,0.3887520614146433,0.699117623648105,17.10779679696801,0.0,0.07046185489051124,0.49065325781758296,0.7810718333381361,0.5536669924419472
nina_art,0.0,13.401792016521973,8.18237888175234,7.370711496779303,1088.3434501368863,Data scientist | ML researcher,0,0.13565298973958373,0.2982118228090389,0.892101756168263,11.92476774343839,6.084272922846509,0.20906411746023285,0.33276794630160966,0.8581653592043581,0.3718389317882548
fit_jessica,100.0,37.0,32.0,29.0,4185.0,Wildlife photographer based in Kenya,0,0.101,0.263,0.816,12.0,1.044,0.106,0.4147,0.972,0.1507
chef_marco,86.25532392861922,0.0,18.273508633981205,4.472364511958227,560.3845303076504,Wildlife photographer based in Kenya,0,0.0,0.35265149007731267,0.7975350003816779,12.840151055723412,0.0,0.16415756138756937,0.4940287919049431,0.6156310322395947,0.358409918578188
dev_pete,4.0,17.0,5.0,1.0,5000.0,Marketing professional | keynote speaker,0,0.081,0.189,0.852,12.0,4.805,0.174,0.2093,0.796,0.4452
get_rich_88,4.0,2545.0,0.0,0.0,52.0,earn $500/day 👇,1,0.932,0.917,0.189,2.0,148.66,0.973,0.0752,0.038,0.0075
noah_films,70.0,5.0,2.0,11.0,1033.0,Dog lover | Hiking | Books,0,0.028,0.219,0.855,8.0,2.198,0.181,0.365,0.843,0.5031
grace_beauty,200.7682773612605,117.6515070425713,8.610269662725239,2.4986229866088436,3326.0848947789314,Fashion designer | PR welcome,0,0.07660540376628663,0.21627823032666543,0.8402523249662325,7.530553314993841,2.8514008745369255,0.09999945112842519,0.30414362555923474,0.8379230063652693,0.4940011713242577
sarah_smith,341.0,11.0,87.0,9.0,3243.0,Teacher & lifelong learner,0,0.144,0.546,0.845,10.0,2.404,0.107,0.2657,0.622,0.3611
user8374629,18.0,246.0,1.0,0.0,16.0,airdrop $ETH daily,1,0.73,0.891,0.238,4.0,156.08,0.719,0.0312,0.132,0.0451
mia_cooks,1258.0,63.0,11.0,26.0,5000.0,Data scientist | ML researcher,1,0.072,0.302,0.928,13.0,3.783,0.035,0.5175,0.713,0.1808
