username,followers,following,videos,bio,likes,is_verified,label
daniel_f,200,94,338,Blogger | Lifestyle & wellness,1555,0,0
tradebot_fx,3046,6520,3316,,313,0,1
mindful_maya,200,75,488,Blogger | Lifestyle & wellness,7807,0,0
free_follower_bot,574,7141,795,,354,0,1
tradebot_fx,9740,9211,4238,promo available 📩,105,0,1
john_doe,457611,19,4,FREE BTC airdrop → link in bio,342,0,1
emma.j,91395,8,8,Real estate investor | DM for passive income secrets,773,0,1
tradebot_fx,74,8511,1,,22,0,1
9182736450,83,4003,1,Get free followers — click bio link,14,0,1
earn_fast_2024,84,8596,4,btc eth airdrop free coins,81,0,1
a8f7d3k9p2,6642,8901,2116,📈 passive income daily,244,0,1
sarah_smith,200,52,407,Blogger | Lifestyle & wellness,3493,0,0
a8f7d3k9p2,7845,5091,2001,FREE BTC airdrop → link in bio,141,0,1
code_master,200,28,131,photographer | travel 📷,9170,0,0
earn_fast_2024,1291,8924,2353,crypto signals ✅ 99% win rate,79,0,1
fit_jessica,200,63,286,Retired engineer | amateur astronomer 🔭,3793,0,0
earn_fast_2024,190,7230,0,follow for follow back,97,0,1
paul_runs,200,98,486,High school teacher | making STEM fun,4165,0,0
99882736450,8818,7728,2234,Real estate investor | DM for passive income secrets,199,0,1
surf_with_evan,200,80,279,Wildlife photographer based in Kenya,9900,0,0
zz_promo_zz,98,9171,2,,41,0,1
real_human_01234,3223,9999,3949,Get free followers — click bio link,440,0,1
surf_with_evan,454651,39,2,crypto signals ✅ 99% win rate,528,0,1
get_rich_88,9725,5027,3576,Get free followers — click bio link,426,0,1
kyliejenner,21092068,111,1573,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,996559702,1,0
alex_travel,271,67,349,photographer | travel 📷,5537,0,0
everyday_elena,125864,20,4,🔞 link in bio,926,0,1
nasa,81609905,341,1170,Professional athlete | Team captain | Brand ambassador,2000526142,1,0
mindful_maya,311,66,326,mom of 3 | foodie 🍕,2414,0,0
crypto_king_9999,76,7504,0,investment advisor DM me,43,0,1
therock,121993019,81,3537,International supermodel | Agency: IMG Models,1599637165,1,0
the_real_sam,200,87,126,mom of 3 | foodie 🍕,1179,0,0
real_human_01234,9227,6807,3691,btc eth airdrop free coins,465,0,1
dev_pete,200,15,489,Gaming streamer | Twitch partner 🎮,1028,0,0
emma.j,249,59,163,Chef | Recipe creator 🍳,5125,0,0
photo_by_anna,200,97,145,Architect | sustainable design,8776,0,0
tom_techie,200,10,312,Dance teacher | choreographer,5018,0,0
dev_pete,200,63,264,Gaming streamer | Twitch partner 🎮,8532,0,0
beyonce,23137230,424,4917,Official account. For business: manager@agency.com,1827580318,1,0
elonmusk,98942404,443,2808,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,7566015027,1,0
acc29471838,65,5618,3,,73,0,1
nina_art,372,39,383,High school teacher | making STEM fun,8625,0,0
photo_by_anna,200,91,52,software engineer @ Google,9435,0,0
alex_travel,471009,26,3,investment advisor DM me,395,0,1
tradebot_fx,22,3485,0,♻️ repost to win $1000,96,0,1
journeys_with_kai,227382,33,9,follow for follow back,325,0,1
alex_travel,200,87,202,photographer | travel 📷,6439,0,0
a8f7d3k9p2,43,8105,2,,9,0,1
1234567890ab,62,8791,3,investment advisor DM me,41,0,1
sarah_smith,98991,22,2,,700,0,1
free_follower_bot,126,5656,4,📈 passive income daily,52,0,1
acc29471838,4,6136,1,follow for follow back,57,0,1
amy_joy,200,51,276,Medical student | future doctor 🩺,6351,0,0
user8374629,121,4030,4,,30,0,1
tradebot_fx,6346,8351,3543,follow for follow back,231,0,1
nft_dropper_69,5352,6690,3908,crypto signals ✅ 99% win rate,459,0,1
9182736450,21,5238,4,,16,0,1
daniel_f,558,256,36,UX designer @Meta,14678,0,0
crypto_king_9999,717,5817,2816,DM me to grow your account fast,98,0,1
xXx_profit_xXx,105,6919,4,,65,0,1
botanist_beth,200,62,446,Marketing professional | keynote speaker,1217,0,0
earn_fast_2024,4422,6576,3866,crypto signals ✅ 99% win rate,21,0,1
mark_adventure,284508,41,0,♻️ repost to win $1000,857,0,1
free_followers_now,9584,6751,1246,earn $500/day 👇,400,0,1
botanist_beth,2521,351,103,Medical student | future doctor 🩺,42642,0,0
john_doe,216,87,155,Musician. Coffee addict. ☕,6795,0,0
a8f7d3k9p2,8262,8508,3641,crypto signals ✅ 99% win rate,410,0,1
free_followers_now,7543,9761,4903,,145,0,1
fit_jessica,832,99,457,Traveler | 50+ countries visited ✈️,5739,0,0
nina_art,200,75,354,Data scientist | ML researcher,5280,0,0
lisa_writes,316,106,416,Musician. Coffee addict. ☕,9868,0,0
nft_dropper_69,36,7126,4,Click link below 💰,32,0,1
john_doe,1047,410,436,Data scientist | ML researcher,47139,0,0
tradebot_fx,6264,5236,2348,,110,0,1
xXx_profit_xXx,7433,7765,3178,,365,0,1
emma.j,650,257,369,Freelance illustrator | art prints available,17147,0,0
photo_by_anna,433,21,259,UX designer @Meta,19103,0,0
chris_builds,425033,14,1,,22,0,1
grace_beauty,308,115,364,Artist | Digital creator ✨,9972,0,0
billgates,61048532,261,3741,Oscar-winning director | Production company: @StudioX,1885599156,1,0
chris_builds,319782,28,7,,13,0,1
chris_builds,200,9,223,UX designer @Meta,1567,0,0
lisa_writes,330509,20,1,🔞 link in bio,405,0,1
mike_2023,672,193,370,Chef | Recipe creator 🍳,21907,0,0
journeys_with_kai,283,128,250,Artist | Digital creator ✨,8536,0,0
user8374629,59,7638,2,FREE BTC airdrop → link in bio,63,0,1
chris_builds,490162,20,1,,243,0,1
cristiano,127469330,203,4767,Oscar-winning director | Production company: @StudioX,4756725569,1,0
airdrop_winner99,2524,7210,3104,Click link below 💰,53,0,1
surf_with_evan,200,86,106,Traveler | 50+ countries visited ✈️,8181,0,0
sarah_smith,457,207,381,mom of 3 | foodie 🍕,4597,0,0
xXx_profit_xXx,1277,8923,4855,btc eth airdrop free coins,86,0,1
real_human_01234,191,9429,2,,41,0,1
nft_dropper_69,28,3324,1,earn $500/day 👇,98,0,1
the_real_sam,722,240,114,News journalist @NYT,12839,0,0
botanist_beth,390373,48,1,DM me to grow your account fast,742,0,1
free_follower_bot,28,3354,3,🔞 link in bio,33,0,1
the_real_sam,171232,36,1,Real estate investor | DM for passive income secrets,603,0,1
code_master,53852,41,9,Real estate investor | DM for passive income secrets,24,0,1
chris_builds,200,59,425,Musician. Coffee addict. ☕,7427,0,0
user8374629,129,9135,4,Click link below 💰,57,0,1
botanist_beth,236398,34,5,,377,0,1
dev_pete,200,76,341,Blogger | Lifestyle & wellness,1088,0,0
mindful_maya,200,11,389,Retired engineer | amateur astronomer 🔭,9205,0,0
free_followers_now,8715,5890,3537,🔞 link in bio,66,0,1
the_real_sam,206,85,54,Wildlife photographer based in Kenya,5686,0,0
mindful_maya,375,115,384,Gaming streamer | Twitch partner 🎮,14777,0,0
chef_marco,337,5,454,Podcaster | interviewing founders,4636,0,0
neymarjr,133080097,325,4173,CEO @Fortune500 | Author | Speaker,10706425239,1,0
earn_fast_2024,127,8601,3,📈 passive income daily,88,0,1
get_rich_88,4420,7412,2056,,87,0,1
chris_builds,320,91,466,Fashion designer | PR welcome,14167,0,0
chris_builds,227,109,489,mom of 3 | foodie 🍕,2016,0,0
fcbarcelona,107114933,41,4267,CEO @Fortune500 | Author | Speaker,6356688134,1,0
botanist_beth,563,173,196,Medical student | future doctor 🩺,15030,0,0
journeys_with_kai,294219,1,4,DM me to grow your account fast,753,0,1
bot_account_7,124,8738,0,Click link below 💰,10,0,1
fcbarcelona,72064771,454,527,Official account. For business: manager@agency.com,2172073573,1,0
nina_art,200,77,436,Marketing professional | keynote speaker,4650,0,0
oprah,12117956,209,1543,Hollywood actor | Upcoming: Summer Blockbuster 2025,733710490,1,0
mark_adventure,289,114,325,Data scientist | ML researcher,3679,0,0
mindful_maya,59381,12,8,btc eth airdrop free coins,277,0,1
acc29471838,6467,9959,646,Click link below 💰,314,0,1
tim_cook,7297123,415,4420,International supermodel | Agency: IMG Models,634998930,1,0
mark_adventure,200,36,430,Wildlife photographer based in Kenya,1962,0,0
john_doe,200,21,209,Artist | Digital creator ✨,8714,0,0
chris_builds,200,49,110,fitness coach 💪 DM for plans,8104,0,0
mike_2023,200,68,465,Artist | Digital creator ✨,2046,0,0
fit_jessica,404697,2,8,,51,0,1
chris_builds,252,91,465,fitness coach 💪 DM for plans,5684,0,0
nft_dropper_69,1601,5680,677,investment advisor DM me,154,0,1
surf_with_evan,464,25,320,Freelance illustrator | art prints available,5080,0,0
paul_runs,389,25,84,Architect | sustainable design,5150,0,0
nina_art,169650,40,7,,860,0,1
bot_account_7,9413,6384,973,♻️ repost to win $1000,491,0,1
journeys_with_kai,200,6,295,News journalist @NYT,6143,0,0
acc29471838,119,7096,4,FREE BTC airdrop → link in bio,75,0,1
follow_back_101,3459,8164,4384,DM me to grow your account fast,232,0,1
arianagrande,50153566,210,1400,Hollywood actor | Upcoming: Summer Blockbuster 2025,2573733611,1,0
daniel_f,186821,47,2,follow for follow back,896,0,1
zz_promo_zz,73,3652,1,,13,0,1
journeys_with_kai,200,39,313,Dance teacher | choreographer,3147,0,0
zz_promo_zz,84,4398,0,crypto signals ✅ 99% win rate,47,0,1
lisa_writes,796,374,21,Architect | sustainable design,27298,0,0
lena_captures,113520,34,5,Click link below 💰,768,0,1
taylorswift,10664335,433,3444,Oscar-winning director | Production company: @StudioX,590271011,1,0
mark_adventure,204,29,420,Wildlife photographer based in Kenya,2548,0,0
tom_techie,24339,12,6,crypto signals ✅ 99% win rate,635,0,1
surf_with_evan,209226,21,7,btc eth airdrop free coins,347,0,1
tradebot_fx,9489,8928,2348,📈 passive income daily,378,0,1
tradebot_fx,14,9746,3,FREE BTC airdrop → link in bio,64,0,1
tom_techie,331,106,165,Architect | sustainable design,8649,0,0
tom_techie,273,18,261,Musician. Coffee addict. ☕,3185,0,0
nft_dropper_69,87,3565,4,,35,0,1
mindful_maya,167805,25,4,FREE BTC airdrop → link in bio,56,0,1
nina_art,484,9,59,Freelance illustrator | art prints available,15955,0,0
bot_account_7,96,7875,1,📈 passive income daily,9,0,1
dev_pete,451,6,252,Dog lover 🐾 | Hiking | Books,2379,0,0
daniel_f,200,74,244,High school teacher | making STEM fun,8784,0,0
code_master,1453,679,441,Musician. Coffee addict. ☕,32833,0,0
xXx_profit_xXx,4955,9077,1966,,25,0,1
lena_captures,200,66,294,mom of 3 | foodie 🍕,1227,0,0
lisa_writes,200,85,244,UX designer @Meta,2297,0,0
real_human_01234,191,8516,1,📈 passive income daily,90,0,1
mike_2023,463,31,275,Musician. Coffee addict. ☕,7741,0,0
b.scott.official,231396,6,4,follow for follow back,96,0,1
q7w8e9r0t1y2,5815,5787,4269,investment advisor DM me,442,0,1
lena_captures,480786,5,7,📈 passive income daily,138,0,1
a8f7d3k9p2,112,3033,3,Click link below 💰,90,0,1
lisa_writes,320,76,335,Medical student | future doctor 🩺,10330,0,0
journeys_with_kai,200,23,178,Dog lover 🐾 | Hiking | Books,2505,0,0
botanist_beth,251,122,78,Nurse practitioner | women's health advocate,4243,0,0
lisa_writes,474362,27,9,Click link below 💰,38,0,1
nft_dropper_69,180,9551,3,promo available 📩,43,0,1
botanist_beth,200,55,52,Podcaster | interviewing founders,3309,0,0
earn_fast_2024,9640,6298,3600,♻️ repost to win $1000,269,0,1
mark_adventure,200,28,97,Blogger | Lifestyle & wellness,6292,0,0
botanist_beth,564,222,477,Marketing professional | keynote speaker,24577,0,0
everyday_elena,591,274,70,Gaming streamer | Twitch partner 🎮,20190,0,0
bot_account_7,178,9498,0,,94,0,1
acc29471838,119,4752,3,NFT investor | crypto tips,33,0,1
acc29471838,5765,5136,3102,promo available 📩,122,0,1
grace_beauty,200,84,152,Dance teacher | choreographer,9156,0,0
user8374629,6742,9785,1552,btc eth airdrop free coins,380,0,1
elonmusk,110979354,25,1344,Professional athlete | Team captain | Brand ambassador,5335779292,1,0
beyonce,120769390,129,1171,Hollywood actor | Upcoming: Summer Blockbuster 2025,1586555578,1,0
b.scott.official,269489,38,3,DM me to grow your account fast,991,0,1
nina_art,200,78,298,Environmental activist 🌱,4695,0,0
sarah_smith,304271,27,0,📈 passive income daily,663,0,1
grace_beauty,203,60,316,Chef | Recipe creator 🍳,9240,0,0
mike_2023,200,65,327,Teacher & lifelong learner 📚,7607,0,0
99882736450,55,3727,4,NFT investor | crypto tips,46,0,1
chris_builds,35503,3,8,follow for follow back,715,0,1
paul_runs,200,80,164,Podcaster | interviewing founders,2437,0,0
mindful_maya,211,49,408,Dance teacher | choreographer,5269,0,0
mike_2023,173609,26,0,Click link below 💰,763,0,1
b.scott.official,200,62,265,Developer | Open source enthusiast,1111,0,0
mark_adventure,497745,34,2,investment advisor DM me,944,0,1
daniel_f,82685,44,4,📈 passive income daily,893,0,1
mike_2023,336,5,32,Marketing professional | keynote speaker,16508,0,0
lisa_writes,230,74,243,Entrepreneur | Founder @startup,11235,0,0
grace_beauty,579,216,153,Freelance illustrator | art prints available,4547,0,0
creative_dan,531,133,94,High school teacher | making STEM fun,14479,0,0
crypto_king_9999,178,4477,1,FREE BTC airdrop → link in bio,40,0,1
surf_with_evan,177863,10,4,Real estate investor | DM for passive income secrets,495,0,1
user8374629,174,5882,4,🔞 link in bio,77,0,1
99882736450,56,4156,3,promo available 📩,91,0,1
amy_joy,200,65,459,Marketing professional | keynote speaker,7208,0,0
creative_dan,207,60,344,Musician. Coffee addict. ☕,3227,0,0
fcbarcelona,62559941,305,1900,Fashion icon | Creative Director @LuxuryBrand,2346295288,1,0
oprah,7709496,57,4954,Official account. For business: manager@agency.com,86586650,1,0
sarah_smith,200,44,125,News journalist @NYT,5899,0,0
fcbarcelona,104691465,368,1113,Professional athlete | Team captain | Brand ambassador,4961390530,1,0
b.scott.official,200,31,90,Teacher & lifelong learner 📚,9666,0,0
mike_2023,472087,32,8,,315,0,1
tom_techie,420203,9,1,,504,0,1
journeys_with_kai,200,82,82,Dog lover 🐾 | Hiking | Books,8731,0,0
nike,106443785,133,2412,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,6609317759,1,0
code_master,1637,802,467,Marketing professional | keynote speaker,43028,0,0
paul_runs,200,56,85,News journalist @NYT,9298,0,0
botanist_beth,843,11,268,Dog lover 🐾 | Hiking | Books,27133,0,0
lena_captures,210596,38,2,crypto signals ✅ 99% win rate,150,0,1
grace_beauty,667,291,202,Data scientist | ML researcher,10757,0,0
tradebot_fx,7900,5007,2238,follow for follow back,338,0,1
amy_joy,200,49,332,News journalist @NYT,8457,0,0
journeys_with_kai,63786,42,8,follow for follow back,137,0,1
chef_marco,200,55,192,Retired engineer | amateur astronomer 🔭,4101,0,0
journeys_with_kai,200,5,115,Dog lover 🐾 | Hiking | Books,3429,0,0
crypto_king_9999,2169,6877,2164,,267,0,1
a8f7d3k9p2,127,7882,4,,62,0,1
b.scott.official,200,7,357,Yoga instructor | wellness coach 🧘,6443,0,0
lisa_writes,284590,9,6,crypto signals ✅ 99% win rate,395,0,1
botanist_beth,324491,44,4,Get free followers — click bio link,774,0,1
grace_beauty,395,126,135,Wildlife photographer based in Kenya,12628,0,0
billgates,21012768,92,2577,Hollywood actor | Upcoming: Summer Blockbuster 2025,566524939,1,0
tom_techie,200,35,478,Fashion designer | PR welcome,7618,0,0
fit_jessica,771,301,313,Entrepreneur | Founder @startup,28491,0,0
tim_cook,129648876,84,147,Iconic musician 🎸 | 40+ years on stage,4775417321,1,0
dev_pete,200,95,480,Chef | Recipe creator 🍳,7212,0,0
nina_art,217922,26,2,♻️ repost to win $1000,196,0,1
mark_adventure,200,9,316,Nurse practitioner | women's health advocate,8629,0,0
lena_captures,578,12,487,Entrepreneur | Founder @startup,23883,0,0
free_follower_bot,9268,6792,2658,,262,0,1
surf_with_evan,200,54,257,Marketing professional | keynote speaker,9246,0,0
surf_with_evan,301,133,164,photographer | travel 📷,13226,0,0
tim_cook,113503094,297,4313,Hollywood actor | Upcoming: Summer Blockbuster 2025,4152754970,1,0
paul_runs,948,454,135,software engineer @ Google,43878,0,0
a8f7d3k9p2,7121,6719,2226,promo available 📩,450,0,1
follow_back_101,4894,8675,2320,📈 passive income daily,281,0,1
fit_jessica,200,99,186,Teacher & lifelong learner 📚,9992,0,0
emma.j,200,27,376,Dance teacher | choreographer,3644,0,0
paul_runs,200,76,394,Medical student | future doctor 🩺,8033,0,0
real_human_01234,3659,5396,4164,earn $500/day 👇,137,0,1
chris_builds,1543,582,218,Fashion designer | PR welcome,36643,0,0
arianagrande,105943735,285,4165,Professional athlete | Team captain | Brand ambassador,2368109118,1,0
mark_adventure,64446,32,6,🔞 link in bio,923,0,1
bot_account_7,8738,9985,4763,🔞 link in bio,231,0,1
mike_2023,200,94,158,fitness coach 💪 DM for plans,9907,0,0
airdrop_winner99,7719,7114,592,Real estate investor | DM for passive income secrets,258,0,1
the_real_sam,200,62,258,Nurse practitioner | women's health advocate,1256,0,0
b.scott.official,13366,42,5,♻️ repost to win $1000,212,0,1
q7w8e9r0t1y2,4938,8459,4827,Click link below 💰,426,0,1
chef_marco,200,49,93,Developer | Open source enthusiast,6418,0,0
user8374629,144,6819,1,DM me to grow your account fast,52,0,1
paul_runs,344983,27,9,,230,0,1
mark_adventure,200,27,495,mom of 3 | foodie 🍕,9794,0,0
bot_account_7,6082,9651,3539,NFT investor | crypto tips,380,0,1
photo_by_anna,396,37,51,Gaming streamer | Twitch partner 🎮,16716,0,0
follow_back_101,153,8335,0,follow for follow back,49,0,1
get_rich_88,100,9243,3,promo available 📩,80,0,1
mark_adventure,193648,36,4,Real estate investor | DM for passive income secrets,302,0,1
chris_builds,200,30,73,Nurse practitioner | women's health advocate,7901,0,0
zz_promo_zz,175,6846,3,btc eth airdrop free coins,69,0,1
emma.j,2387,324,281,Marketing professional | keynote speaker,74519,0,0
paul_runs,293503,33,9,FREE BTC airdrop → link in bio,362,0,1
everyday_elena,200,41,313,Podcaster | interviewing founders,7549,0,0
lena_captures,200,74,494,Developer | Open source enthusiast,1287,0,0
mindful_maya,219,69,456,Dance teacher | choreographer,2366,0,0
follow_back_101,1360,6497,987,crypto signals ✅ 99% win rate,353,0,1
nft_dropper_69,9963,7496,3084,NFT investor | crypto tips,58,0,1
billgates,108597961,87,4512,World #1 tennis player 🎾 | Foundation: @AidFundation,2673928794,1,0
crypto_king_9999,5274,5516,1028,follow for follow back,94,0,1
crypto_king_9999,140,6877,2,,53,0,1
tom_techie,343048,36,2,NFT investor | crypto tips,766,0,1
amy_joy,24160,13,4,,438,0,1
taylorswift,111164488,174,3594,World #1 tennis player 🎾 | Foundation: @AidFundation,3420475225,1,0
earn_fast_2024,3377,6394,1210,,343,0,1
9182736450,4608,5571,2484,🔞 link in bio,194,0,1
nft_dropper_69,6156,9180,727,,109,0,1
justinbieber,98700626,451,1178,International supermodel | Agency: IMG Models,9508380097,1,0
tom_techie,200,15,65,Retired engineer | amateur astronomer 🔭,6371,0,0
dev_pete,3019,819,455,Wildlife photographer based in Kenya,62099,0,0
amy_joy,200,72,211,Musician. Coffee addict. ☕,3745,0,0
lisa_writes,319977,30,5,,633,0,1
q7w8e9r0t1y2,83,8568,1,earn $500/day 👇,28,0,1
q7w8e9r0t1y2,6541,9010,788,Get free followers — click bio link,133,0,1
alex_travel,1842,394,268,High school teacher | making STEM fun,83098,0,0
amy_joy,2207,965,378,Yoga instructor | wellness coach 🧘,90594,0,0
john_doe,284,15,364,Nurse practitioner | women's health advocate,8398,0,0
real_human_01234,1077,8768,3404,earn $500/day 👇,313,0,1
sarah_smith,211280,6,3,,432,0,1
surf_with_evan,200,38,221,Marketing professional | keynote speaker,5279,0,0
realmadrid,130889346,391,1633,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,5362354215,1,0
lena_captures,200,53,159,Blogger | Lifestyle & wellness,1571,0,0
grace_beauty,273658,6,5,FREE BTC airdrop → link in bio,281,0,1
john_doe,200,8,343,Architect | sustainable design,3534,0,0
amy_joy,200,94,446,Chef | Recipe creator 🍳,4399,0,0
sarah_smith,187602,46,5,promo available 📩,831,0,1
the_real_sam,1408,157,453,Chef | Recipe creator 🍳,27474,0,0
free_followers_now,9437,7895,3409,🔞 link in bio,272,0,1
bot_account_7,6508,5261,2933,,221,0,1
natgeo,77462842,379,2842,World #1 tennis player 🎾 | Foundation: @AidFundation,6668021913,1,0
mike_2023,200,72,266,Dog lover 🐾 | Hiking | Books,2006,0,0
free_follower_bot,76,3317,4,📈 passive income daily,12,0,1
mike_2023,142713,19,3,♻️ repost to win $1000,122,0,1
lena_captures,200,94,120,Freelance illustrator | art prints available,8150,0,0
dev_pete,200,24,295,software engineer @ Google,9888,0,0
acc29471838,3285,8480,2537,🔞 link in bio,314,0,1
kyliejenner,45854843,216,3858,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,2236411385,1,0
emma.j,200,76,477,Medical student | future doctor 🩺,3455,0,0
earn_fast_2024,67,3327,1,Real estate investor | DM for passive income secrets,64,0,1
botanist_beth,465540,37,5,promo available 📩,437,0,1
follow_back_101,2,4755,4,DM me to grow your account fast,87,0,1
sarah_smith,200,45,481,mom of 3 | foodie 🍕,8069,0,0
natgeo,82632511,203,1934,Nobel Peace Prize laureate | Activist,6310000696,1,0
nft_dropper_69,5702,7773,2570,♻️ repost to win $1000,8,0,1
lena_captures,200,20,193,Dance teacher | choreographer,5694,0,0
tradebot_fx,64,5361,1,btc eth airdrop free coins,2,0,1
emma.j,312693,22,6,DM me to grow your account fast,563,0,1
arianagrande,95349163,310,3026,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,2417527518,1,0
surf_with_evan,200,52,246,High school teacher | making STEM fun,1708,0,0
free_followers_now,128,9845,4,Real estate investor | DM for passive income secrets,6,0,1
acc29471838,66,9048,3,promo available 📩,25,0,1
surf_with_evan,200,34,35,Entrepreneur | Founder @startup,1018,0,0
real_human_01234,65,7646,0,earn $500/day 👇,35,0,1
free_followers_now,192,5332,4,Real estate investor | DM for passive income secrets,35,0,1
mindful_maya,1158,407,114,Blogger | Lifestyle & wellness,31333,0,0
1234567890ab,138,8928,2,promo available 📩,13,0,1
botanist_beth,432506,13,6,NFT investor | crypto tips,443,0,1
get_rich_88,7179,6317,4926,📈 passive income daily,269,0,1
mark_adventure,1615,446,380,Podcaster | interviewing founders,71512,0,0
fit_jessica,401,141,210,High school teacher | making STEM fun,8053,0,0
lisa_writes,459,81,402,High school teacher | making STEM fun,4583,0,0
99882736450,1554,8133,3304,Click link below 💰,77,0,1
everyday_elena,1428,578,20,Nurse practitioner | women's health advocate,22459,0,0
tim_cook,73693052,136,3199,Fashion icon | Creative Director @LuxuryBrand,5009269190,1,0
airdrop_winner99,6062,6828,820,,403,0,1
realmadrid,74259677,180,1276,CEO @Fortune500 | Author | Speaker,6393092027,1,0
natgeo,147802172,364,3196,Professional athlete | Team captain | Brand ambassador,8167242400,1,0
john_doe,200,19,140,Blogger | Lifestyle & wellness,2461,0,0
free_followers_now,146,9192,4,Click link below 💰,81,0,1
surf_with_evan,203,56,359,Architect | sustainable design,1432,0,0
fit_jessica,349108,39,4,🔞 link in bio,783,0,1
sarah_smith,308,31,306,Developer | Open source enthusiast,9972,0,0
realmadrid,6019056,218,2356,Nobel Peace Prize laureate | Activist,475236314,1,0
alex_travel,266,27,393,Artist | Digital creator ✨,8999,0,0
mindful_maya,200,75,22,Musician. Coffee addict. ☕,9966,0,0
nft_dropper_69,72,8204,1,FREE BTC airdrop → link in bio,90,0,1
follow_back_101,123,5713,4,,69,0,1
free_followers_now,8400,6592,1898,Click link below 💰,411,0,1
tom_techie,200,7,280,Medical student | future doctor 🩺,3599,0,0
emma.j,507,132,360,mom of 3 | foodie 🍕,21689,0,0
fit_jessica,200,74,448,Dance teacher | choreographer,3146,0,0
tim_cook,97028457,337,627,World #1 tennis player 🎾 | Foundation: @AidFundation,6714899233,1,0
grace_beauty,111690,3,2,Get free followers — click bio link,941,0,1
q7w8e9r0t1y2,1521,7767,3222,Get free followers — click bio link,74,0,1
daniel_f,200,52,71,Medical student | future doctor 🩺,9770,0,0
tradebot_fx,104,8319,2,investment advisor DM me,97,0,1
therock,23526965,245,4576,Iconic musician 🎸 | 40+ years on stage,2344920370,1,0
botanist_beth,452,145,269,Medical student | future doctor 🩺,14768,0,0
botanist_beth,617,253,22,software engineer @ Google,14726,0,0
daniel_f,200,53,301,Marketing professional | keynote speaker,2513,0,0
