username,followers,following,tweets,bio,is_verified,listed_count,has_profile_pic,label
grace_beauty,965434,1137,39855,Dance teacher | choreographer,0,39907,1,0
selenagomez28,347530,42,16,Fan account. Not official.,0,0,1,1
amy_joy,339,384,349,Musician. Coffee addict. ☕,0,546,1,0
9182736450,37,4544,17,,0,0,0,1
paul_runs,23463,37,13,promo available 📩,0,0,0,1
john_doe,50,94,116,High school teacher | making STEM fun,0,547,1,0
tom_techie,540,572,100,Architect | sustainable design,0,268,1,0
tradebot_fx,59,4658,26,Real estate investor | DM for passive income secrets,0,0,0,1
surf_with_evan,50,71,100,Teacher & lifelong learner 📚,0,849,1,0
john_doe,262,428,100,News journalist @NYT,0,677,1,0
emma.j,3884533,418,27903,High school teacher | making STEM fun,1,46313,1,0
grace_beauty,50,77,128,Nurse practitioner | women's health advocate,0,668,1,0
paul_runs,50,18,336,software engineer @ Google,0,959,1,0
real_human_01234,246,4313,263330,btc eth airdrop free coins,0,0,1,1
the_real_sam,415088,30,4,btc eth airdrop free coins,0,0,1,1
get_rich_88,1468,3965,356418,follow for follow back,0,0,1,1
1234567890ab,80,3921,42,Click link below 💰,0,0,0,1
alex_travel,59,62,140,UX designer @Meta,0,910,1,0
chris_builds,158,176,100,Medical student | future doctor 🩺,0,468,1,0
nasa35,246098,35,78,Fan account. Not official.,0,0,1,1
grace_beauty,348416,22,8,,0,0,0,1
oprah915,471900,87,105,Fan account. Not official.,0,0,1,1
photo_by_anna,65980,47,11,DM me to grow your account fast,0,0,1,1
q7w8e9r0t1y2,51,3769,22,promo available 📩,0,0,0,1
a8f7d3k9p2,1677,3067,360758,Real estate investor | DM for passive income secrets,0,0,1,1
chef_marco,123,227,100,Data scientist | ML researcher,0,924,1,0
nina_art,102992,26,10,♻️ repost to win $1000,0,0,1,1
chef_marco,50,122,100,fitness coach 💪 DM for plans,0,686,1,0
creative_dan,3181263,1962,23723,Freelance illustrator | art prints available,0,16188,1,0
bot_account_7,18,3506,27,,0,0,0,1
therock475,331054,88,34,Fan account. Not official.,0,0,1,1
get_rich_88,78,3826,19,NFT investor | crypto tips,0,0,0,1
neymarjr917,86186,83,38,Fan account. Not official.,0,0,1,1
surf_with_evan,293288,3,2,investment advisor DM me,0,0,1,1
elonmusk201,248841,85,158,Fan account. Not official.,0,0,1,1
the_real_sam,58,72,100,Medical student | future doctor 🩺,0,772,1,0
nike,190999048,291,99863,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,1,418642,1,0
paul_runs,50,118,100,Nurse practitioner | women's health advocate,0,996,1,0
billgates,121620759,1015,93602,CEO @Fortune500 | Author | Speaker,1,323948,1,0
zz_promo_zz,76,3689,38,earn $500/day 👇,0,0,1,1
mark_adventure,85,54,1376,News journalist @NYT,0,704,1,0
beyonce680,258103,97,25,Fan account. Not official.,0,0,1,1
dev_pete,239,442,100,Architect | sustainable design,0,902,1,0
xXx_profit_xXx,52,3833,22,🔞 link in bio,0,0,0,1
photo_by_anna,4142382,1183,12487,Musician. Coffee addict. ☕,1,21709,1,0
elonmusk735,398137,78,126,Fan account. Not official.,0,0,1,1
b.scott.official,348947,4736,5447,Musician. Coffee addict. ☕,0,49385,1,0
nina_art,2638151,2892,24987,Data scientist | ML researcher,1,34607,1,0
photo_by_anna,50,78,100,Yoga instructor | wellness coach 🧘,0,145,1,0
fit_jessica,50,114,100,Wildlife photographer based in Kenya,0,77,1,0
tom_techie,197570,21,3,NFT investor | crypto tips,0,0,0,1
q7w8e9r0t1y2,92,4772,49,,0,0,0,1
justinbieber260,366736,85,159,Fan account. Not official.,0,0,1,1
creative_dan,65,137,100,Retired engineer | amateur astronomer 🔭,0,749,1,0
everyday_elena,50,50,314,mom of 3 | foodie 🍕,1,629,1,0
alex_travel,50,25,341,Freelance illustrator | art prints available,0,41,1,0
daniel_f,42375,41,11,DM me to grow your account fast,0,0,0,1
lisa_writes,292287,4,7,Click link below 💰,0,0,1,1
mike_2023,104,166,182,Traveler | 50+ countries visited ✈️,0,912,1,0
tom_techie,68867,20,3,promo available 📩,0,0,0,1
b.scott.official,370173,48,15,crypto signals ✅ 99% win rate,0,0,0,1
chris_builds,50,20,100,Podcaster | interviewing founders,0,619,1,0
sarah_smith,50,28,491,Medical student | future doctor 🩺,0,5,1,0
sarah_smith,50,32,462,Musician. Coffee addict. ☕,0,457,1,0
99882736450,4044,3039,162741,🔞 link in bio,0,0,1,1
photo_by_anna,254,436,100,Blogger | Lifestyle & wellness,0,581,1,0
taylorswift616,444372,81,159,Fan account. Not official.,0,0,1,1
john_doe,225,84,1179,Retired engineer | amateur astronomer 🔭,0,227,1,0
mark_adventure,58,94,352,Freelance illustrator | art prints available,0,470,1,0
john_doe,395834,24,8,Get free followers — click bio link,0,0,1,1
taylorswift,61211743,1665,54911,Iconic musician 🎸 | 40+ years on stage,1,166889,1,0
daniel_f,50,86,100,Dog lover 🐾 | Hiking | Books,0,591,1,0
the_real_sam,50,49,100,High school teacher | making STEM fun,0,650,1,0
free_followers_now,46,4688,39,🔞 link in bio,0,0,1,1
cristiano,131001674,1652,55822,Grammy-winning artist 🎵 | New album out now,1,218657,1,0
john_doe,141,148,100,Retired engineer | amateur astronomer 🔭,0,638,1,0
john_doe,4954327,2398,23140,Artist | Digital creator ✨,1,2092,1,0
airdrop_winner99,4267,4860,278021,follow for follow back,0,0,1,1
neymarjr652,325627,47,100,Fan account. Not official.,0,0,1,1
botanist_beth,312630,12,1,promo available 📩,0,0,1,1
q7w8e9r0t1y2,30,4579,17,📈 passive income daily,0,0,1,1
alex_travel,366329,18,3,Real estate investor | DM for passive income secrets,0,0,1,1
the_real_sam,173,424,100,Nurse practitioner | women's health advocate,0,159,1,0
natgeo,134226637,1364,79085,Nobel Peace Prize laureate | Activist,1,305072,1,0
the_real_sam,50,103,100,Chef | Recipe creator 🍳,0,455,1,0
dev_pete,50,81,221,photographer | travel 📷,0,181,1,0
beyonce256,11361,66,146,Fan account. Not official.,0,0,1,1
dev_pete,50,36,100,Teacher & lifelong learner 📚,0,400,1,0
mike_2023,4740440,1056,41342,Dog lover 🐾 | Hiking | Books,0,11270,1,0
nike,27485542,629,61822,Grammy-winning artist 🎵 | New album out now,1,463711,1,0
kimkardashian964,311179,90,184,Fan account. Not official.,0,0,1,1
billgates689,450779,77,17,Fan account. Not official.,0,0,1,1
billgates,90797671,1464,23885,Hollywood actor | Upcoming: Summer Blockbuster 2025,1,33714,1,0
xXx_profit_xXx,1935,3486,255495,Get free followers — click bio link,0,0,1,1
selenagomez,45578789,1445,36530,Grammy-winning artist 🎵 | New album out now,1,344527,1,0
mike_2023,50,107,1248,Marketing professional | keynote speaker,0,664,1,0
amy_joy,78,93,100,Freelance illustrator | art prints available,0,355,1,0
beyonce,138607046,823,46397,Grammy-winning artist 🎵 | New album out now,1,118786,1,0
mark_adventure,50,45,493,Medical student | future doctor 🩺,0,990,1,0
chris_builds,466200,29,9,📈 passive income daily,0,0,0,1
sarah_smith,20001,37,3,📈 passive income daily,0,0,1,1
nasa,26471854,675,15333,Professional athlete | Team captain | Brand ambassador,1,279475,1,0
botanist_beth,398,984,277,Blogger | Lifestyle & wellness,0,678,1,0
creative_dan,196211,28,8,NFT investor | crypto tips,0,0,0,1
beyonce,118774239,1307,24712,Grammy-winning artist 🎵 | New album out now,1,59381,1,0
surf_with_evan,61,32,100,Retired engineer | amateur astronomer 🔭,0,116,1,0
tradebot_fx,4807,3095,277588,Get free followers — click bio link,0,0,1,1
billgates419,460756,26,84,Fan account. Not official.,0,0,1,1
dev_pete,95,199,100,software engineer @ Google,0,53,1,0
botanist_beth,208580,16,5,FREE BTC airdrop → link in bio,0,0,0,1
surf_with_evan,50,81,406,Wildlife photographer based in Kenya,0,528,1,0
mark_adventure,152194,21,16,Get free followers — click bio link,0,0,1,1
natgeo560,87255,83,65,Fan account. Not official.,0,0,1,1
free_follower_bot,80,4746,36,btc eth airdrop free coins,0,0,0,1
botanist_beth,66,114,116,Yoga instructor | wellness coach 🧘,0,671,1,0
a8f7d3k9p2,1117,4990,64774,earn $500/day 👇,0,0,1,1
user8374629,37,3671,23,crypto signals ✅ 99% win rate,0,0,0,1
tom_techie,83,145,100,Marketing professional | keynote speaker,0,301,1,0
grace_beauty,4513330,1035,47714,Gaming streamer | Twitch partner 🎮,0,10480,1,0
journeys_with_kai,399598,47,0,Get free followers — click bio link,0,0,0,1
the_real_sam,2315181,2307,45342,Marketing professional | keynote speaker,0,44494,1,0
xXx_profit_xXx,43,3136,47,earn $500/day 👇,0,0,1,1
airdrop_winner99,0,4491,17,crypto signals ✅ 99% win rate,0,0,0,1
john_doe,133,291,100,Medical student | future doctor 🩺,0,37,1,0
free_followers_now,80,3758,47,Real estate investor | DM for passive income secrets,0,0,1,1
justinbieber,126074895,1739,12412,Oscar-winning director | Production company: @StudioX,1,470529,1,0
botanist_beth,314049,11,2,,0,0,1,1
free_follower_bot,51,3368,9,Get free followers — click bio link,0,0,1,1
follow_back_101,88,4694,2,♻️ repost to win $1000,0,0,0,1
follow_back_101,61,3604,31,,0,0,1,1
chef_marco,532323,4268,7402,Marketing professional | keynote speaker,0,41498,1,0
airdrop_winner99,70,4361,14,NFT investor | crypto tips,0,0,0,1
get_rich_88,412,3243,329712,♻️ repost to win $1000,0,0,1,1
tom_techie,355704,49,13,btc eth airdrop free coins,0,0,0,1
selenagomez,88689611,963,21679,Professional athlete | Team captain | Brand ambassador,1,74058,1,0
nasa413,4790,74,26,Fan account. Not official.,0,0,1,1
kimkardashian,120585246,885,13212,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,1,362713,1,0
daniel_f,119,72,100,Architect | sustainable design,0,423,1,0
journeys_with_kai,50,21,100,Developer | Open source enthusiast,0,726,1,0
kyliejenner,199770637,725,91944,World #1 tennis player 🎾 | Foundation: @AidFundation,1,37857,1,0
surf_with_evan,161038,40,13,investment advisor DM me,0,0,1,1
surf_with_evan,50,103,857,Blogger | Lifestyle & wellness,0,259,1,0
cristiano51,151308,96,29,Fan account. Not official.,0,0,1,1
nasa921,426965,63,146,Fan account. Not official.,0,0,1,1
real_human_01234,70,4077,2,,0,0,1,1
fit_jessica,415805,25,10,,0,0,0,1
lena_captures,1916683,2245,17829,Data scientist | ML researcher,0,24189,1,0
mike_2023,3064043,2355,23235,Teacher & lifelong learner 📚,1,23811,1,0
zz_promo_zz,61,4418,12,,0,0,0,1
nina_art,810993,935,39327,UX designer @Meta,1,13904,1,0
mark_adventure,50,46,100,Artist | Digital creator ✨,0,237,1,0
john_doe,2789075,4605,23121,Freelance illustrator | art prints available,0,34151,1,0
nina_art,380743,27,11,Get free followers — click bio link,0,0,0,1
dev_pete,50,102,387,UX designer @Meta,0,835,1,0
creative_dan,407253,45,8,NFT investor | crypto tips,0,0,0,1
amy_joy,4239360,3777,37748,News journalist @NYT,1,35103,1,0
taylorswift638,142128,0,71,Fan account. Not official.,0,0,1,1
journeys_with_kai,679,1584,281,Traveler | 50+ countries visited ✈️,0,107,1,0
chef_marco,50,78,1046,Wildlife photographer based in Kenya,0,981,1,0
photo_by_anna,1831384,1439,40551,Chef | Recipe creator 🍳,0,26510,1,0
neymarjr170,464528,74,137,Fan account. Not official.,0,0,1,1
botanist_beth,987,2266,259,Podcaster | interviewing founders,0,0,1,0
nasa939,76058,81,135,Fan account. Not official.,0,0,1,1
follow_back_101,3126,4618,212668,follow for follow back,0,0,1,1
amy_joy,928141,4989,42273,Podcaster | interviewing founders,1,27798,1,0
alex_travel,39132,37,8,,0,0,0,1
amy_joy,44923,11,3,🔞 link in bio,0,0,1,1
realmadrid,49288829,258,76273,Grammy-winning artist 🎵 | New album out now,1,441277,1,0
free_follower_bot,35,4825,4,follow for follow back,0,0,0,1
b.scott.official,255334,7,2,FREE BTC airdrop → link in bio,0,0,1,1
paul_runs,50,101,262,Marketing professional | keynote speaker,0,695,1,0
grace_beauty,3687428,918,27687,Wildlife photographer based in Kenya,0,25473,1,0
justinbieber,151825051,1178,66418,International supermodel | Agency: IMG Models,1,317453,1,0
follow_back_101,185,4895,305432,📈 passive income daily,0,0,1,1
earn_fast_2024,50,3841,16,investment advisor DM me,0,0,1,1
photo_by_anna,50,89,441,Freelance illustrator | art prints available,0,509,1,0
the_real_sam,66,16,100,software engineer @ Google,0,195,1,0
tim_cook341,364957,98,156,Fan account. Not official.,0,0,1,1
lisa_writes,3268677,2867,27541,Developer | Open source enthusiast,0,15997,1,0
nft_dropper_69,2100,3429,392665,Click link below 💰,0,0,1,1
mindful_maya,50,41,100,photographer | travel 📷,0,497,1,0
9182736450,2651,3176,274649,,0,0,1,1
journeys_with_kai,50,119,347,High school teacher | making STEM fun,0,587,1,0
zz_promo_zz,3,3984,9,earn $500/day 👇,0,0,1,1
mike_2023,82,153,100,Developer | Open source enthusiast,0,335,1,0
tom_techie,70,126,197,Teacher & lifelong learner 📚,0,393,1,0
alex_travel,50,40,100,Medical student | future doctor 🩺,0,628,1,0
john_doe,50,10,155,photographer | travel 📷,0,621,1,0
lisa_writes,50,105,100,Artist | Digital creator ✨,0,102,1,0
neymarjr,21696159,240,40519,International supermodel | Agency: IMG Models,1,372078,1,0
b.scott.official,95,136,100,Retired engineer | amateur astronomer 🔭,0,938,1,0
xXx_profit_xXx,808,3737,438014,DM me to grow your account fast,0,0,1,1
emma.j,2586466,2129,32559,Data scientist | ML researcher,0,22039,1,0
the_real_sam,446404,1124,19485,Nurse practitioner | women's health advocate,0,5336,1,0
bot_account_7,317,4429,295706,,0,0,1,1
get_rich_88,4937,4300,160852,earn $500/day 👇,0,0,1,1
nike43,441065,98,40,Fan account. Not official.,0,0,1,1
chris_builds,121,271,100,Fashion designer | PR welcome,0,71,1,0
creative_dan,50,47,255,photographer | travel 📷,0,336,1,0
99882736450,93,3480,11,,0,0,1,1
get_rich_88,1113,4211,242779,FREE BTC airdrop → link in bio,0,0,1,1
nft_dropper_69,89,4451,23,FREE BTC airdrop → link in bio,0,0,1,1
free_followers_now,9,3719,9,crypto signals ✅ 99% win rate,0,0,0,1
xXx_profit_xXx,17,3374,8,,0,0,0,1
dev_pete,74,69,100,Traveler | 50+ countries visited ✈️,0,759,1,0
emma.j,51,70,100,UX designer @Meta,0,281,1,0
john_doe,89693,37,0,follow for follow back,0,0,0,1
nft_dropper_69,265,3148,91566,,0,0,1,1
surf_with_evan,143,38,100,Entrepreneur | Founder @startup,0,526,1,0
9182736450,2281,3712,347830,promo available 📩,0,0,1,1
bot_account_7,629,3829,146891,FREE BTC airdrop → link in bio,0,0,1,1
chef_marco,50,67,161,Retired engineer | amateur astronomer 🔭,0,460,1,0
elonmusk,13951868,1143,76553,International supermodel | Agency: IMG Models,1,221639,1,0
daniel_f,50,116,100,Fashion designer | PR welcome,0,511,1,0
chef_marco,50,98,100,Podcaster | interviewing founders,1,585,1,0
dev_pete,1232140,3107,21347,fitness coach 💪 DM for plans,0,46760,1,0
everyday_elena,136,337,1178,Marketing professional | keynote speaker,0,626,1,0
john_doe,50,71,100,software engineer @ Google,0,344,1,0
photo_by_anna,257030,11,9,📈 passive income daily,0,0,1,1
journeys_with_kai,4915149,882,4044,Nurse practitioner | women's health advocate,0,12626,1,0
acc29471838,79,3095,40,Real estate investor | DM for passive income secrets,0,0,0,1
chef_marco,50,109,102,Podcaster | interviewing founders,0,207,1,0
nina_art,2518042,1762,45197,Data scientist | ML researcher,0,31105,1,0
tom_techie,2951648,2538,11542,fitness coach 💪 DM for plans,0,29948,1,0
everyday_elena,50,70,115,Dance teacher | choreographer,0,360,1,0
b.scott.official,366,594,287,Yoga instructor | wellness coach 🧘,0,618,1,0
free_follower_bot,61,3260,48,,0,0,0,1
9182736450,2334,3840,313695,📈 passive income daily,0,0,1,1
9182736450,3078,4219,185165,NFT investor | crypto tips,0,0,1,1
creative_dan,455871,10,9,follow for follow back,0,0,1,1
nina_art,121217,4257,43720,Nurse practitioner | women's health advocate,1,11059,1,0
lena_captures,50,95,100,software engineer @ Google,0,101,1,0
elonmusk108,83627,19,142,Fan account. Not official.,0,0,1,1
selenagomez,157541450,160,98164,Nobel Peace Prize laureate | Activist,1,438003,1,0
nasa203,12835,5,22,Fan account. Not official.,0,0,1,1
everyday_elena,50,74,100,Environmental activist 🌱,0,870,1,0
dev_pete,50,17,100,Gaming streamer | Twitch partner 🎮,0,453,1,0
surf_with_evan,72493,15,8,,0,0,1,1
paul_runs,117,76,142,Fashion designer | PR welcome,0,831,1,0
surf_with_evan,78,137,221,Data scientist | ML researcher,0,30,1,0
selenagomez,153595505,748,34206,CEO @Fortune500 | Author | Speaker,1,484146,1,0
kimkardashian,90045105,885,66076,World #1 tennis player 🎾 | Foundation: @AidFundation,1,418598,1,0
dev_pete,3329093,1935,29477,High school teacher | making STEM fun,0,40900,1,0
nasa,149511719,265,31725,International supermodel | Agency: IMG Models,1,333511,1,0
oprah,143463707,904,93593,Fashion icon | Creative Director @LuxuryBrand,1,162111,1,0
the_real_sam,4027028,1541,10772,photographer | travel 📷,1,6847,1,0
mark_adventure,55893,7,10,,0,0,0,1
surf_with_evan,2211756,1938,12045,Traveler | 50+ countries visited ✈️,0,5496,1,0
botanist_beth,90738,44,2,btc eth airdrop free coins,0,0,1,1
mark_adventure,50,10,151,High school teacher | making STEM fun,0,270,1,0
emma.j,176371,8,5,btc eth airdrop free coins,0,0,1,1
emma.j,93,185,100,software engineer @ Google,0,244,1,0
1234567890ab,4667,4733,177213,,0,0,1,1
mindful_maya,131418,26,12,NFT investor | crypto tips,0,0,1,1
chef_marco,37899,24,11,promo available 📩,0,0,0,1
kimkardashian,190735818,1143,69698,World #1 tennis player 🎾 | Foundation: @AidFundation,1,284235,1,0
acc29471838,2089,3341,468692,🔞 link in bio,0,0,1,1
photo_by_anna,121685,4,15,,0,0,0,1
user8374629,29,4094,34,,0,0,0,1
lena_captures,34004,3,14,investment advisor DM me,0,0,0,1
1234567890ab,1808,3145,116125,,0,0,1,1
botanist_beth,430335,25,9,promo available 📩,0,0,0,1
tim_cook,98739255,1193,35749,CEO @Fortune500 | Author | Speaker,1,76522,1,0
chef_marco,76,52,458,Architect | sustainable design,0,960,1,0
journeys_with_kai,52,65,100,Dance teacher | choreographer,0,995,1,0
nina_art,50,98,178,Medical student | future doctor 🩺,0,707,1,0
paul_runs,386062,16,7,investment advisor DM me,0,0,0,1
paul_runs,4470331,2000,45997,Traveler | 50+ countries visited ✈️,1,42353,1,0
tom_techie,20240,12,12,promo available 📩,0,0,1,1
tradebot_fx,200,4665,200325,Click link below 💰,0,0,1,1
selenagomez532,418029,66,111,Fan account. Not official.,0,0,1,1
code_master,83,135,361,Musician. Coffee addict. ☕,0,670,1,0
crypto_king_9999,1039,3423,143679,NFT investor | crypto tips,0,0,1,1
selenagomez,144609525,1607,75545,World #1 tennis player 🎾 | Foundation: @AidFundation,1,112758,1,0
tradebot_fx,83,4818,20,📈 passive income daily,0,0,1,1
dev_pete,50,108,100,Nurse practitioner | women's health advocate,0,186,1,0
botanist_beth,39392,38,5,investment advisor DM me,0,0,1,1
oprah,153228845,1808,72570,Fashion icon | Creative Director @LuxuryBrand,1,215422,1,0
mindful_maya,475150,15,7,📈 passive income daily,0,0,0,1
earn_fast_2024,1062,3531,220005,Real estate investor | DM for passive income secrets,0,0,1,1
lena_captures,1056616,4561,683,News journalist @NYT,0,16353,1,0
paul_runs,50,56,100,Freelance illustrator | art prints available,0,982,1,0
therock259,160638,95,62,Fan account. Not official.,0,0,1,1
paul_runs,3703206,2975,45837,Environmental activist 🌱,1,49824,1,0
xXx_profit_xXx,3142,4094,145532,📈 passive income daily,0,0,1,1
therock,80848545,1647,91828,Hollywood actor | Upcoming: Summer Blockbuster 2025,1,382272,1,0
code_master,288778,26,11,earn $500/day 👇,0,0,1,1
alex_travel,50,15,222,Teacher & lifelong learner 📚,0,138,1,0
jeffbezos,29986893,313,87539,International supermodel | Agency: IMG Models,1,29822,1,0
lena_captures,4384766,439,5674,News journalist @NYT,1,40664,1,0
amy_joy,153,127,100,photographer | travel 📷,0,312,1,0
neymarjr114,75846,82,114,Fan account. Not official.,0,0,1,1
grace_beauty,357,671,126,mom of 3 | foodie 🍕,0,266,1,0
follow_back_101,1150,3411,247910,DM me to grow your account fast,0,0,1,1
mike_2023,4857087,3607,32152,Artist | Digital creator ✨,0,3978,1,0
lena_captures,50,87,703,mom of 3 | foodie 🍕,0,658,1,0
sarah_smith,308145,26,10,NFT investor | crypto tips,0,0,0,1
justinbieber,104223101,1956,58059,Iconic musician 🎸 | 40+ years on stage,1,54265,1,0
tradebot_fx,3066,3458,400585,🔞 link in bio,0,0,1,1
everyday_elena,50,86,100,Environmental activist 🌱,0,752,1,0
photo_by_anna,2719273,829,45312,Medical student | future doctor 🩺,0,45254,1,0
selenagomez554,298338,20,86,Fan account. Not official.,0,0,1,1
neymarjr,169301241,263,71990,Hollywood actor | Upcoming: Summer Blockbuster 2025,1,77875,1,0
chris_builds,3600569,1107,29204,Gaming streamer | Twitch partner 🎮,0,42941,1,0
free_follower_bot,1294,3851,461245,,0,0,1,1
crypto_king_9999,3,3193,41,earn $500/day 👇,0,0,1,1
natgeo,36041463,1927,28046,Hollywood actor | Upcoming: Summer Blockbuster 2025,1,477890,1,0
the_real_sam,93,18,100,Teacher & lifelong learner 📚,0,36,1,0
sarah_smith,353642,32,14,Click link below 💰,0,0,1,1
alex_travel,88,120,343,Environmental activist 🌱,0,345,1,0
b.scott.official,4101160,2055,2634,UX designer @Meta,0,9693,1,0
selenagomez234,482473,89,139,Fan account. Not official.,0,0,1,1
lisa_writes,141,112,100,Entrepreneur | Founder @startup,0,548,1,0
creative_dan,3915038,3764,10836,photographer | travel 📷,0,24244,1,0
fcbarcelona,54600346,452,61830,Professional athlete | Team captain | Brand ambassador,1,237738,1,0
crypto_king_9999,29,4982,33,earn $500/day 👇,0,0,0,1
9182736450,2838,3980,341817,Click link below 💰,0,0,1,1
nasa762,156498,66,75,Fan account. Not official.,0,0,1,1
nasa183,265069,42,135,Fan account. Not official.,0,0,1,1
mark_adventure,50,97,100,Traveler | 50+ countries visited ✈️,0,598,1,0
journeys_with_kai,50,114,110,Podcaster | interviewing founders,0,717,1,0
zz_promo_zz,3,4386,10,investment advisor DM me,0,0,1,1
emma.j,53,49,169,UX designer @Meta,0,872,1,0
everyday_elena,116,58,100,Chef | Recipe creator 🍳,0,721,1,0
photo_by_anna,50,97,100,Blogger | Lifestyle & wellness,0,68,1,0
emma.j,268092,20,9,FREE BTC airdrop → link in bio,0,0,1,1
journeys_with_kai,50,107,288,Medical student | future doctor 🩺,0,898,1,0
daniel_f,50,22,174,Wildlife photographer based in Kenya,0,412,1,0
real_human_01234,6,4235,10,investment advisor DM me,0,0,1,1
jeffbezos,123682035,1014,83491,Iconic musician 🎸 | 40+ years on stage,1,266538,1,0
a8f7d3k9p2,842,3154,151400,promo available 📩,0,0,1,1
tradebot_fx,2751,4593,406547,earn $500/day 👇,0,0,1,1
lisa_writes,4471911,617,622,Freelance illustrator | art prints available,1,49603,1,0
b.scott.official,50,15,100,Podcaster | interviewing founders,0,279,1,0
dev_pete,50,37,100,Artist | Digital creator ✨,0,600,1,0
daniel_f,94835,5,14,,0,0,1,1
nft_dropper_69,4667,3336,423104,,0,0,1,1
9182736450,20,4036,44,NFT investor | crypto tips,0,0,0,1
acc29471838,1932,3601,186664,,0,0,1,1
b.scott.official,176065,1,3,♻️ repost to win $1000,0,0,0,1
kimkardashian,44804468,1993,85531,Fashion icon | Creative Director @LuxuryBrand,1,99189,1,0
user8374629,1626,3202,211331,,0,0,1,1
q7w8e9r0t1y2,45,3528,49,FREE BTC airdrop → link in bio,0,0,0,1
mindful_maya,1395888,1660,30897,Musician. Coffee addict. ☕,0,29692,1,0
emma.j,1593878,2133,38447,Entrepreneur | Founder @startup,0,46433,1,0
lena_captures,98,229,100,Marketing professional | keynote speaker,0,324,1,0
therock97,453326,95,141,Fan account. Not official.,0,0,1,1
tradebot_fx,2854,3690,252546,NFT investor | crypto tips,0,0,1,1
botanist_beth,50,119,100,Chef | Recipe creator 🍳,0,212,1,0
follow_back_101,1,4245,14,Real estate investor | DM for passive income secrets,0,0,1,1
lena_captures,50,77,100,Musician. Coffee addict. ☕,0,898,1,0
user8374629,11,3585,7,DM me to grow your account fast,0,0,1,1
fit_jessica,122,99,100,UX designer @Meta,0,699,1,0
realmadrid,100610074,1704,8778,World #1 tennis player 🎾 | Foundation: @AidFundation,1,34311,1,0
real_human_01234,302,4118,394000,,0,0,1,1
chef_marco,50,30,100,Marketing professional | keynote speaker,0,935,1,0
chris_builds,2519389,2735,12361,Yoga instructor | wellness coach 🧘,0,36365,1,0
jeffbezos,116850639,395,92539,Oscar-winning director | Production company: @StudioX,1,249429,1,0
